NAME,ASIAN/PI,category,pop_est,new_category
Colorado,195264,FEMALE,2827696,FEMALE
Colorado,195264,AI/AN/NH/PI,44210,AI/AN/NH/PI
Connecticut,170839,TOTAL_POP,3572665,TOTAL_POP
Connecticut,170839,NH.WHITE,2376351,NH WHITE
Connecticut,170839,HISPANIC.WHITE,482929,NA
Connecticut,170839,NH.BLACK,364858,BLACK
Connecticut,170839,HISPANIC.BLACK,64440,NA
Connecticut,170839,NH.AI/AN,7758,AI/AN
Connecticut,170839,HISPANIC.AI/AN,12185,NA
Connecticut,170839,NH.ASIAN,169570,ASIAN
Connecticut,170839,HISPANIC.ASIAN,4229,NA
Connecticut,170839,NH.NH/PI,1269,NH/PI
Connecticut,170839,HISPANIC.NH/PI,2571,NA
Connecticut,170839,NH.MULTI,63050,MULTI
Connecticut,170839,HISPANIC.MULTI,23455,NA
Connecticut,170839,ETH_NH,2982856,NH
Connecticut,170839,ETH_HISPANIC,589809,HISPANIC
Connecticut,170839,MALE,1743395,MALE
Connecticut,170839,FEMALE,1829270,FEMALE
Connecticut,170839,AI/AN/NH/PI,9027,AI/AN/NH/PI
Delaware,39264,TOTAL_POP,967171,TOTAL_POP
Delaware,39264,NH.WHITE,599061,NH WHITE
Delaware,39264,HISPANIC.WHITE,72958,NA
Delaware,39264,NH.BLACK,211504,BLACK
Delaware,39264,HISPANIC.BLACK,10566,NA
Delaware,39264,NH.AI/AN,3009,AI/AN
Delaware,39264,HISPANIC.AI/AN,3449,NA
Delaware,39264,NH.ASIAN,38921,ASIAN
Delaware,39264,HISPANIC.ASIAN,663,NA
Delaware,39264,NH.NH/PI,343,NH/PI
Delaware,39264,HISPANIC.NH/PI,706,NA
Delaware,39264,NH.MULTI,22359,MULTI
Delaware,39264,HISPANIC.MULTI,3632,NA
Delaware,39264,ETH_NH,875197,NH
Delaware,39264,ETH_HISPANIC,91974,HISPANIC
Delaware,39264,MALE,467927,MALE
Delaware,39264,FEMALE,499244,FEMALE
Delaware,39264,AI/AN/NH/PI,3352,AI/AN/NH/PI
District of Columbia,30411,TOTAL_POP,702455,TOTAL_POP
District of Columbia,30411,NH.WHITE,260268,NH WHITE
District of Columbia,30411,HISPANIC.WHITE,60106,NA
District of Columbia,30411,NH.BLACK,315337,BLACK
District of Columbia,30411,HISPANIC.BLACK,10844,NA
District of Columbia,30411,NH.AI/AN,1407,AI/AN
District of Columbia,30411,HISPANIC.AI/AN,2889,NA
District of Columbia,30411,NH.ASIAN,30064,ASIAN
District of Columbia,30411,HISPANIC.ASIAN,961,NA
District of Columbia,30411,NH.NH/PI,347,NH/PI
District of Columbia,30411,HISPANIC.NH/PI,628,NA
District of Columbia,30411,NH.MULTI,15783,MULTI
District of Columbia,30411,HISPANIC.MULTI,3821,NA
District of Columbia,30411,ETH_NH,623206,NH
District of Columbia,30411,ETH_HISPANIC,79249,HISPANIC
District of Columbia,30411,MALE,333307,MALE
District of Columbia,30411,FEMALE,369148,FEMALE
District of Columbia,30411,AI/AN/NH/PI,1754,AI/AN/NH/PI
Florida,620576,TOTAL_POP,21299325,TOTAL_POP
Florida,620576,NH.WHITE,11399170,NH WHITE
Florida,620576,HISPANIC.WHITE,5072955,NA
Florida,620576,NH.BLACK,3309386,BLACK
Florida,620576,HISPANIC.BLACK,290735,NA
Florida,620576,NH.AI/AN,53689,AI/AN
Florida,620576,HISPANIC.AI/AN,53295,NA
Florida,620576,NH.ASIAN,607001,ASIAN
Florida,620576,HISPANIC.ASIAN,24736,NA
Florida,620576,NH.NH/PI,13575,NH/PI
Florida,620576,HISPANIC.NH/PI,10778,NA
Florida,620576,NH.MULTI,354087,MULTI
Florida,620576,HISPANIC.MULTI,109918,NA
Florida,620576,ETH_NH,15736908,NH
Florida,620576,ETH_HISPANIC,5562417,HISPANIC
Florida,620576,MALE,10411777,MALE
Florida,620576,FEMALE,10887548,FEMALE
Florida,620576,AI/AN/NH/PI,67264,AI/AN/NH/PI
Georgia,450259,TOTAL_POP,10519475,TOTAL_POP
Georgia,450259,NH.WHITE,5511319,NH WHITE
Georgia,450259,HISPANIC.WHITE,849209,NA
Georgia,450259,NH.BLACK,3313815,BLACK
Georgia,450259,HISPANIC.BLACK,97330,NA
Georgia,450259,NH.AI/AN,24102,AI/AN
Georgia,450259,HISPANIC.AI/AN,30780,NA
Georgia,450259,NH.ASIAN,443813,ASIAN
Georgia,450259,HISPANIC.ASIAN,9675,NA
Georgia,450259,NH.NH/PI,6446,NH/PI
Georgia,450259,HISPANIC.NH/PI,5986,NA
Georgia,450259,NH.MULTI,193243,MULTI
Georgia,450259,HISPANIC.MULTI,33757,NA
Georgia,450259,ETH_NH,9492738,NH
Georgia,450259,ETH_HISPANIC,1026737,HISPANIC
Georgia,450259,MALE,5115416,MALE
Georgia,450259,FEMALE,5404059,FEMALE
Georgia,450259,AI/AN/NH/PI,30548,AI/AN/NH/PI
Hawaii,651925,TOTAL_POP,1420491,TOTAL_POP
Hawaii,651925,NH.WHITE,309043,NH WHITE
Hawaii,651925,HISPANIC.WHITE,54506,NA
Hawaii,651925,NH.BLACK,27934,BLACK
Hawaii,651925,HISPANIC.BLACK,3204,NA
Hawaii,651925,NH.AI/AN,3037,AI/AN
Hawaii,651925,HISPANIC.AI/AN,2592,NA
Hawaii,651925,NH.ASIAN,517717,ASIAN
Hawaii,651925,HISPANIC.ASIAN,16934,NA
Hawaii,651925,NH.NH/PI,134208,NH/PI
Hawaii,651925,HISPANIC.NH/PI,10598,NA
Hawaii,651925,NH.MULTI,277195,MULTI
Hawaii,651925,HISPANIC.MULTI,63523,NA
Hawaii,651925,ETH_NH,1269134,NH
Hawaii,651925,ETH_HISPANIC,151357,HISPANIC
Hawaii,651925,MALE,711002,MALE
Hawaii,651925,FEMALE,709489,FEMALE
Hawaii,651925,AI/AN/NH/PI,137245,AI/AN/NH/PI
Idaho,29179,TOTAL_POP,1754208,TOTAL_POP
Idaho,29179,NH.WHITE,1433895,NH WHITE
Idaho,29179,HISPANIC.WHITE,198293,NA
Idaho,29179,NH.BLACK,13050,BLACK
Idaho,29179,HISPANIC.BLACK,2725,NA
Idaho,29179,NH.AI/AN,19385,AI/AN
Idaho,29179,HISPANIC.AI/AN,11064,NA
Idaho,29179,NH.ASIAN,26026,ASIAN
Idaho,29179,HISPANIC.ASIAN,1793,NA
Idaho,29179,NH.NH/PI,3153,NH/PI
Idaho,29179,HISPANIC.NH/PI,730,NA
Idaho,29179,NH.MULTI,35791,MULTI
Idaho,29179,HISPANIC.MULTI,8303,NA
Idaho,29179,ETH_NH,1531300,NH
Idaho,29179,ETH_HISPANIC,222908,HISPANIC
Idaho,29179,MALE,879077,MALE
Idaho,29179,FEMALE,875131,FEMALE
Idaho,29179,AI/AN/NH/PI,22538,AI/AN/NH/PI
Illinois,735945,TOTAL_POP,12741080,TOTAL_POP
Illinois,735945,NH.WHITE,7773275,NH WHITE
Illinois,735945,HISPANIC.WHITE,2018565,NA
Illinois,735945,NH.BLACK,1791197,BLACK
Illinois,735945,HISPANIC.BLACK,68993,NA
Illinois,735945,NH.AI/AN,19233,AI/AN
Illinois,735945,HISPANIC.AI/AN,56334,NA
Illinois,735945,NH.ASIAN,732320,ASIAN
Illinois,735945,HISPANIC.ASIAN,16402,NA
Illinois,735945,NH.NH/PI,3625,NH/PI
Illinois,735945,HISPANIC.NH/PI,4820,NA
Illinois,735945,NH.MULTI,207288,MULTI
Illinois,735945,HISPANIC.MULTI,49028,NA
Illinois,735945,ETH_NH,10526938,NH
Illinois,735945,ETH_HISPANIC,2214142,HISPANIC
Illinois,735945,MALE,6260901,MALE
Illinois,735945,FEMALE,6480179,FEMALE
Illinois,735945,AI/AN/NH/PI,22858,AI/AN/NH/PI
Indiana,164344,TOTAL_POP,6691878,TOTAL_POP
Indiana,164344,NH.WHITE,5276640,NH WHITE
Indiana,164344,HISPANIC.WHITE,417828,NA
Indiana,164344,NH.BLACK,635087,BLACK
Indiana,164344,HISPANIC.BLACK,23642,NA
Indiana,164344,NH.AI/AN,15474,AI/AN
Indiana,164344,HISPANIC.AI/AN,12266,NA
Indiana,164344,NH.ASIAN,161831,ASIAN
Indiana,164344,HISPANIC.ASIAN,3537,NA
Indiana,164344,NH.NH/PI,2513,NH/PI
Indiana,164344,HISPANIC.NH/PI,2029,NA
Indiana,164344,NH.MULTI,125096,MULTI
Indiana,164344,HISPANIC.MULTI,15935,NA
Indiana,164344,ETH_NH,6216641,NH
Indiana,164344,ETH_HISPANIC,475237,HISPANIC
Indiana,164344,MALE,3300302,MALE
Indiana,164344,FEMALE,3391576,FEMALE
Indiana,164344,AI/AN/NH/PI,17987,AI/AN/NH/PI
Iowa,87698,TOTAL_POP,3156145,TOTAL_POP
Iowa,87698,NH.WHITE,2691471,NH WHITE
Iowa,87698,HISPANIC.WHITE,172655,NA
Iowa,87698,NH.BLACK,119189,BLACK
Iowa,87698,HISPANIC.BLACK,5630,NA
Iowa,87698,NH.AI/AN,9533,AI/AN
Iowa,87698,HISPANIC.AI/AN,7148,NA
Iowa,87698,NH.ASIAN,84180,ASIAN
Iowa,87698,HISPANIC.ASIAN,1528,NA
Iowa,87698,NH.NH/PI,3518,NH/PI
Iowa,87698,HISPANIC.NH/PI,714,NA
Iowa,87698,NH.MULTI,53822,MULTI
Iowa,87698,HISPANIC.MULTI,6757,NA
Iowa,87698,ETH_NH,2961713,NH
Iowa,87698,ETH_HISPANIC,194432,HISPANIC
Iowa,87698,MALE,1570807,MALE
Iowa,87698,FEMALE,1585338,FEMALE
Iowa,87698,AI/AN/NH/PI,13051,AI/AN/NH/PI
Kansas,91566,TOTAL_POP,2911505,TOTAL_POP
Kansas,91566,NH.WHITE,2202954,NH WHITE
