"X","NAME","TOTAL_POP","NH.WHITE","HISPANIC.WHITE","NH.BLACK","HISPANIC.BLACK","NH.AI.AN","HISPANIC.AI.AN","NH.ASIAN","HISPANIC.ASIAN","NH.NH.PI","HISPANIC.NH.PI","NH.MULTI","HISPANIC.MULTI","MALE","FEMALE","AGE_0","AGE_1","AGE_2","AGE_3","AGE_4","AGE_5","AGE_6","AGE_7","AGE_8","AGE_9","AGE_10","AGE_11","AGE_12","AGE_13","AGE_14","AGE_15","AGE_16","AGE_17","AGE_18","AGE_19","AGE_20","AGE_21","AGE_22","AGE_23","AGE_24","AGE_25","AGE_26","AGE_27","AGE_28","AGE_29","AGE_30","AGE_31","AGE_32","AGE_33","AGE_34","AGE_35","AGE_36","AGE_37","AGE_38","AGE_39","AGE_40","AGE_41","AGE_42","AGE_43","AGE_44","AGE_45","AGE_46","AGE_47","AGE_48","AGE_49","AGE_50","AGE_51","AGE_52","AGE_53","AGE_54","AGE_55","AGE_56","AGE_57","AGE_58","AGE_59","AGE_60","AGE_61","AGE_62","AGE_63","AGE_64","AGE_65","AGE_66","AGE_67","AGE_68","AGE_69","AGE_70","AGE_71","AGE_72","AGE_73","AGE_74","AGE_75","AGE_76","AGE_77","AGE_78","AGE_79","AGE_80","AGE_81","AGE_82","AGE_83","AGE_84","AGE_85"
28,"Nebraska",1925614,1513752,186401,93449,5815,16188,12745,49941,1640,1195,1105,36611,6772,961374,964240,25355,26255,26583,27223,26823,26479,26192,26327,26538,26718,27047,26696,26676,26699,26553,26288,25929,25856,25865,27504,27748,27648,27027,27179,26756,26469,26967,25384,24875,24266,24759,25070,25326,26234,25628,26347,26249,25993,25998,23800,23156,22605,21670,22422,21086,20775,21983,22457,22752,21554,20676,20867,21466,23119,24057,24507,24937,25302,25674,24864,24395,24172,23534,23140,22238,21206,20750,19904,19017,18314,17348,17843,12683,12546,12546,12397,10792,9736,9298,8785,8391,7881,7294,6934,6223,42989
29,"Nevada",3027341,1476439,774651,277358,28636,26156,24691,247512,13162,19031,4713,103555,31437,1518521,1508820,35459,36744,37514,38191,37651,38097,37524,38787,38559,38564,40338,40121,39425,38704,38363,38124,37701,38376,35189,31455,32354,33808,36086,38781,40553,42012,45136,46922,47672,45098,44364,43145,43386,43892,42324,42879,42787,42088,42720,39688,39191,38503,37556,38630,37585,38217,39237,41557,42122,39570,38246,37423,37708,39946,39738,39143,38982,39015,39443,37231,37286,36947,36244,36519,34786,33531,32466,31748,31699,30732,30887,32250,23922,23257,22383,22392,18973,16842,15775,14156,12954,11362,10141,9242,7759,43464
30,"New Hampshire",1353465,1218114,43923,19265,4073,2896,1172,39320,494,384,247,20991,2586,670773,682692,12065,12600,12923,13172,13058,13774,13405,14147,13915,14060,14568,15025,15212,15488,15846,16094,16152,16283,17613,18522,18757,18620,17965,16784,17061,17180,17524,17228,17083,16909,16749,16644,16986,16832,15871,16321,16142,16029,16172,15262,15113,14651,14564,15317,15170,15759,17318,18923,19085,18691,18563,19180,19629,21100,21719,22018,21944,22476,22309,22050,21620,21302,20048,19715,18869,17968,17256,16328,15715,15445,15496,16139,11077,10708,10450,10634,9029,7759,7211,6561,6116,5591,5333,4955,4396,30124
31,"New Jersey",8886025,4895285,1517358,1146792,184354,12710,41514,861675,16034,3106,6889,137688,62620,4340687,4545338,100689,102903,104767,104896,104949,105084,105980,108262,107346,106667,109972,111046,111231,112214,113602,113406,112733,115446,112115,102062,104802,108408,109884,111289,113618,115947,115759,116102,116741,113552,112508,112707,114853,115804,113273,115689,116044,114936,119049,113257,111972,111061,109527,113347,109663,110910,116420,123801,127483,122336,121309,122108,125234,131301,131923,130901,129135,130100,129735,125325,122951,119600,113945,111033,103630,98470,93044,89938,87229,83478,83098,87138,65450,62788,60215,63641,54601,47966,45513,42407,40482,37095,34695,32308,28777,203350
32,"New Mexico",2092741,777297,939142,38840,14821,184596,44371,32085,4815,1376,1956,31439,22003,1035540,1057201,23262,23931,24992,25630,26012,26344,26314,27192,27358,27667,28252,28281,27911,27986,27545,27559,27483,28105,28035,27807,27817,27862,27838,28889,28855,29207,29872,29660,29067,27622,27628,27434,27674,27994,27339,27782,27444,26521,26894,24855,24232,23762,23220,23525,22512,22754,23519,24436,24693,23741,22866,23241,23457,25482,26364,26855,27925,28282,28718,27387,27450,27672,26975,26777,25950,25414,24910,23957,23957,23160,22697,22901,17192,17007,15952,15855,13798,12540,11653,10893,10129,9130,8525,7929,6704,40723
33,"New York",19530351,10847252,2787105,2825732,606578,56909,132656,1699796,39627,8847,18131,348274,159444,9484218,10046133,227959,228570,229542,230262,225834,226820,226054,228431,222053,216573,221964,222592,221726,224399,227240,228057,228312,234305,251092,246134,250877,251461,251915,265133,278263,287035,291179,302410,306939,294147,289979,282831,278785,277387,262108,261448,258203,251235,257951,241701,235644,232860,226660,235919,225209,227217,237228,254409,265812,253220,250160,252045,259347,275238,276430,273543,268824,271524,278010,265538,261512,256095,245725,243257,228194,217645,208556,202582,199489,190212,186500,190500,143311,140137,133085,136606,119367,107543,102622,95054,90956,82967,77938,73392,64941,458422
34,"North Carolina",10381615,6530778,806219,2219017,87610,116451,47395,312686,11236,6836,5967,201241,36179,5050327,5331288,119849,120830,122989,123776,123747,122995,124349,124905,127444,128933,132966,133984,133067,131936,132119,131310,131054,135559,143029,145317,142440,137877,137597,139284,141734,143140,146129,149048,147079,142081,136789,133476,132742,132616,127866,132100,131735,131127,134808,128236,128465,128387,124058,129097,126754,130891,137716,146237,145486,136647,132634,132453,133031,139662,142289,140855,139333,139893,139813,135715,134710,132587,128838,127014,123539,118836,115250,111364,108505,105986,105812,110256,80322,78371,75013,75759,64493,57925,53183,48709,45672,40801,38869,36093,30607,185623
35,"North Dakota",758080,637212,23508,24086,1029,38927,3319,12369,337,449,100,15112,1632,388034,370046,10520,11092,10959,11024,10692,10436,10198,9852,9884,9823,9818,9787,9550,9368,9041,8791,8619,8601,9316,11717,12035,12361,13239,13051,12598,12435,12226,12390,12261,11563,10812,10613,10761,10974,10385,10542,10339,9948,9819,9040,8806,8339,7787,8014,7576,7558,7664,7942,8103,7852,7658,7685,7929,8548,8947,9335,9484,9697,10053,9739,9659,9540,9347,9163,8612,8343,7984,7373,6929,6601,6334,6411,4810,4742,4604,4511,3945,3647,3418,3364,3255,3108,2950,2814,2512,18908
36,"Ohio",11676341,9190310,374628,1473445,43208,22781,10801,279730,4028,4607,2191,246380,24232,5722437,5953904,135052,137235,140241,141669,141909,142094,140913,140719,141526,142721,146118,147931,147726,147021,148785,148423,149250,154209,153921,154439,151170,148691,150216,152352,154615,158133,162664,163170,163113,157837,151285,147575,147484,148435,141798,144222,145145,145373,148386,140106,136191,134040,129810,135021,130915,134078,143454,154247,154254,146418,143016,144973,147352,156527,160515,160399,162100,166286,166972,165248,166913,164341,156478,154920,146897,140590,135861,130346,125629,122060,119360,125115,86295,82616,80712,85482,74955,67414,62357,58556,56336,50866,47217,44839,38443,256255
37,"Oklahoma",3940235,2575528,347187,292209,13945,330019,39789,89156,2857,6612,1448,218258,23227,1952266,1987969,49185,51150,52638,52833,53253,53696,53298,53724,53532,53673,54598,54823,53611,53355,53270,52584,52472,52868,52464,53523,54706,54024,54242,55302,55495,55075,57207,57904,56628,53960,52341,51454,52495,53602,52631,53839,53532,52147,53176,48833,47031,46560,44952,46307,43959,44452,46272,47991,48297,45133,43597,43171,44229,47804,49446,50558,50724,51561,52230,49893,49543,49064,47439,47093,45266,43077,41005,39680,38571,36974,36431,38289,28138,28321,27707,27197,23747,21761,20681,19153,17832,15777,14783,13957,12189,73250
38,"Oregon",4181886,3154504,478122,80838,10804,46708,29396,194104,5777,16784,2078,135884,26887,2073087,2108799,43402,45026,46939,47556,48080,47754,47977,48713,49129,48732,50568,50254,49623,48972,49294,48797,48397,49862,50366,48767,49845,51515,53142,54675,55765,57179,59736,63052,62879,60086,58601,58189,59015,59868,58258,59468,59596,58639,60003,56012,55253,54098,52309,52852,50416,49942,51498,54988,55302,52049,48856,48408,48491,50627,51468,52569,53423,54495,55422,53818,54614,55422,54402,55046,54982,54085,52147,50373,49118,47247,46143,48169,34211,33678,32368,32353,27291,24401,22688,20644,18932,17037,15567,14233,12458,84262
