"state_name","category","count","last_update","strata_type","data_type","metric","pop_est","count2","normalized"
"Alabama","ASIAN",190,"07/06/20","race","case","Count",73167,190,259.679910342094
"Alabama","BLACK",15481,"07/06/20","race","case","Count",1310802,15481,1181.03268075575
"Alabama","OTHER",2549,"07/06/20","race","case","Count",NA,2549,NA
"Alabama","UNKNOWN",11162,"07/06/20","race","case","Count",NA,11162,NA
"Alabama","WHITE",14993,"07/06/20","race","case","Count",3379955,14993,443.585787384743
"Alabama","65+",7538,"07/06/20","age","case","Count",826894,7538,911.604147569096
"Alabama","0-4",774,"07/06/20","age","case","Count",293203,774,263.980927889551
"Alabama","25-49",18376,"07/06/20","age","case","Count",1548808,18376,1186.46081373547
"Alabama","5-24",8368,"07/06/20","age","case","Count",1249295,8368,669.817777226356
"Alabama","50-64",9000,"07/06/20","age","case","Count",969671,9000,928.149857013358
"Alabama","UNKNOWN",319,"07/06/20","age","case","Count",NA,319,NA
"Alabama","FEMALE",24828,"07/06/20","gender","case","Count",2523756,24828,983.771806783223
"Alabama","MALE",19183,"07/06/20","gender","case","Count",2364115,19183,811.424148148462
"Alabama","UNKNOWN",364,"07/06/20","gender","case","Count",NA,364,NA
"Alabama","ASIAN",4,"07/06/20","race","death","Count",73167,4,5.46694548088619
"Alabama","BLACK",442,"07/06/20","race","death","Count",1310802,442,33.7198142816383
"Alabama","OTHER",17,"07/06/20","race","death","Count",NA,17,NA
"Alabama","UNKNOWN",33,"07/06/20","race","death","Count",NA,33,NA
"Alabama","WHITE",488,"07/06/20","race","death","Count",3379955,488,14.4380620452047
"Alabama","65+",770,"07/06/20","age","death","Count",826894,770,93.119553413134
"Alabama","0-4",2,"07/06/20","age","death","Count",293203,2,0.682121260696514
"Alabama","25-49",43,"07/06/20","age","death","Count",1548808,43,2.77632863466614
"Alabama","5-24",2,"07/06/20","age","death","Count",1249295,2,0.160090290924081
"Alabama","50-64",167,"07/06/20","age","death","Count",969671,167,17.2223362356923
"Alabama","FEMALE",477,"07/06/20","gender","death","Count",2523756,477,18.9004008311422
"Alabama","MALE",504,"07/06/20","gender","death","Count",2364115,504,21.3187598742024
"Alabama","",454592,"07/06/20","total","test","Count",4887871,454592,9300.409114725
"Alabama","",44878,"07/06/20","total","case","Count",4887871,44878,918.150253965377
"Alabama","HISPANIC",4194,"07/06/20","eth","case","Count",217181,4194,1931.10815402821
"Alabama","NON HISPANIC",26126,"07/06/20","eth","case","Count",4670690,26126,559.360608389767
"Alabama","UNKNOWN",14055,"07/06/20","eth","case","Count",NA,14055,NA
"Alabama","",1007,"07/06/20","total","death","Count",4887871,1007,20.602016706251
"Alabama","HISPANIC",31,"07/06/20","eth","death","Count",217181,31,14.2738084823258
"Alabama","NON HISPANIC",850,"07/06/20","eth","death","Count",4670690,850,18.1985959247991
"Alabama","UNKNOWN",103,"07/06/20","eth","death","Count",NA,103,NA
"Alabama","",2914,"07/06/20","total","hosp","Count",4887871,2914,59.6169579761823
"Alaska","AI/AN",136,"07/05/20","race","case","Count",113516,136,119.806899467916
"Alaska","ASIAN",60,"07/05/20","race","case","Count",49025,60,122.386537480877
"Alaska","BLACK",25,"07/05/20","race","case","Count",27942,25,89.4710471691361
"Alaska","HN/PI",29,"07/05/20","race","case","Count",10221,29,283.729576362391
"Alaska","MULTI",36,"07/05/20","race","case","Count",54855,36,65.6275635767022
"Alaska","OTHER",22,"07/05/20","race","case","Count",NA,22,NA
"Alaska","UNKNOWN",306,"07/05/20","race","case","Count",NA,306,NA
"Alaska","WHITE",552,"07/05/20","race","case","Count",481879,552,114.551578300777
"Alaska","0-9",44,"07/05/20","age","case","Count",105171,44,41.8366279677858
"Alaska","10-19",90,"07/05/20","age","case","Count",96022,90,93.7285205473746
"Alaska","20-29",243,"07/05/20","age","case","Count",114672,243,211.908748430306
"Alaska","30-39",232,"07/05/20","age","case","Count",108865,232,213.107977770633
"Alaska","40-49",179,"07/05/20","age","case","Count",86536,179,206.850328187113
"Alaska","50-59",178,"07/05/20","age","case","Count",93805,178,189.755343531795
"Alaska","60-69",118,"07/05/20","age","case","Count",80434,118,146.704130094239
"Alaska","70-79",61,"07/05/20","age","case","Count",37370,61,163.232539470163
"Alaska","80+",21,"07/05/20","age","case","Count",14563,21,144.201057474421
"Alaska","UNKNOWN",0,"07/05/20","age","case",NA,NA,0,NA
