"state_name","category","count","last_update","strata_type","data_type","metric","pop_est","count2","normalized"
"Alabama","ASIAN",537,"09/29/20","race","case","Count",73167,537,733.937430808971
"Alabama","BLACK",33725,"09/29/20","race","case","Count",1310802,33725,2572.85234535803
"Alabama","OTHER",10941,"09/29/20","race","case","Count",NA,10941,NA
"Alabama","UNKNOWN",44706,"09/29/20","race","case","Count",NA,44706,NA
"Alabama","WHITE",46640,"09/29/20","race","case","Count",3379955,46640,1379.90002825481
"Alabama","65+",22948,"09/29/20","age","case","Count",826894,22948,2775.2045606813
"Alabama","0-4",2730,"09/29/20","age","case","Count",293203,2730,931.095520850742
"Alabama","18-24",20284,"09/29/20","age","case","Count",452658,20284,4481.08726676652
"Alabama","25-49",52359,"09/29/20","age","case","Count",1548808,52359,3380.59979029034
"Alabama","5-17",10582,"09/29/20","age","case","Count",796637,10582,1328.33398398518
"Alabama","50-64",27646,"09/29/20","age","case","Count",969671,27646,2851.07010522126
"Alabama","FEMALE",75442,"09/29/20","gender","case","Count",2523756,75442,2989.27471593926
"Alabama","MALE",59440,"09/29/20","gender","case","Count",2364115,59440,2514.26009310038
"Alabama","UNKNOWN",1667,"09/29/20","gender","case","Count",NA,1667,NA
"Alabama","ASIAN",8,"09/29/20","race","death","Count",73167,8,10.9338909617724
"Alabama","BLACK",938,"09/29/20","race","death","Count",1310802,938,71.5592438827527
"Alabama","OTHER",55,"09/29/20","race","death","Count",NA,55,NA
"Alabama","UNKNOWN",86,"09/29/20","race","death","Count",NA,86,NA
"Alabama","WHITE",1291,"09/29/20","race","death","Count",3379955,1291,38.1957747958183
"Alabama","65+",1833,"09/29/20","age","death","Count",826894,1833,221.67291091724
"Alabama","0-4",4,"09/29/20","age","death","Count",293203,4,1.36424252139303
"Alabama","18-24",5,"09/29/20","age","death","Count",452658,5,1.10458668575392
"Alabama","25-49",116,"09/29/20","age","death","Count",1548808,116,7.48963073537843
"Alabama","50-64",420,"09/29/20","age","death","Count",969671,420,43.3136599939567
"Alabama","FEMALE",1141,"09/29/20","gender","death","Count",2523756,1141,45.2103927638013
"Alabama","MALE",1230,"09/29/20","gender","death","Count",2364115,1230,52.0279258834701
"Alabama","UNKNOWN",1,"09/29/20","gender","death","Count",NA,1,NA
"Alabama","",14538,"09/29/20","total","test","Count",4887871,14538,297.430108118647
"Alabama","",153554,"09/29/20","total","case","Count",4887871,153554,3141.53135383483
"Alabama","HISPANIC",7644,"09/29/20","eth","case","Count",217181,7644,3519.64490448059
"Alabama","NON HISPANIC",65720,"09/29/20","eth","case","Count",4670690,65720,1407.07261667976
