"state_name","category","count","last_update","strata_type","data_type","metric","pop_est","count2","normalized"
"Alabama","ASIAN",574,"10/13/20","race","case","Count",73167,574,784.506676507169
"Alabama","BLACK",35358,"10/13/20","race","case","Count",1310802,35358,2697.4325641859
"Alabama","OTHER",13008,"10/13/20","race","case","Count",NA,13008,NA
"Alabama","UNKNOWN",46643,"10/13/20","race","case","Count",NA,46643,NA
"Alabama","WHITE",51500,"10/13/20","race","case","Count",3379955,51500,1523.68892485255
"Alabama","65+",24664,"10/13/20","age","case","Count",826894,24664,2982.72813685914
"Alabama","0-4",2913,"10/13/20","age","case","Count",293203,2913,993.509616204473
"Alabama","18-24",21643,"10/13/20","age","case","Count",452658,21643,4781.31392795444
"Alabama","25-49",56112,"10/13/20","age","case","Count",1548808,56112,3622.91517089271
"Alabama","5-17",11773,"10/13/20","age","case","Count",796637,11773,1477.83745921919
"Alabama","50-64",29978,"10/13/20","age","case","Count",969671,29978,3091.56404594961
"Alabama","FEMALE",81072,"10/13/20","gender","case","Count",2523756,81072,3212.35491862129
"Alabama","MALE",64180,"10/13/20","gender","case","Count",2364115,64180,2714.75795382204
"Alabama","UNKNOWN",1831,"10/13/20","gender","case","Count",NA,1831,NA
"Alabama","ASIAN",7,"10/13/20","race","death","Count",73167,7,9.56715459155084
"Alabama","BLACK",981,"10/13/20","race","death","Count",1310802,981,74.8396783038171
"Alabama","OTHER",62,"10/13/20","race","death","Count",NA,62,NA
"Alabama","UNKNOWN",82,"10/13/20","race","death","Count",NA,82,NA
"Alabama","WHITE",1377,"10/13/20","race","death","Count",3379955,1377,40.7401873693585
"Alabama","65+",1933,"10/13/20","age","death","Count",826894,1933,233.766359412452
"Alabama","0-4",4,"10/13/20","age","death","Count",293203,4,1.36424252139303
"Alabama","18-24",5,"10/13/20","age","death","Count",452658,5,1.10458668575392
"Alabama","25-49",121,"10/13/20","age","death","Count",1548808,121,7.81245964638612
"Alabama","50-64",446,"10/13/20","age","death","Count",969671,446,45.9949818031064
"Alabama","FEMALE",1212,"10/13/20","gender","death","Count",2523756,1212,48.0236599734681
"Alabama","MALE",1290,"10/13/20","gender","death","Count",2364115,1290,54.5658734875419
"Alabama","UNKNOWN",1,"10/13/20","gender","death","Count",NA,1,NA
"Alabama","",14538,"10/13/20","total","test","Count",4887871,14538,297.430108118647
"Alabama","",167193,"10/13/20","total","case","Count",4887871,167193,3420.56899619487
"Alabama","HISPANIC",7903,"10/13/20","eth","case","Count",217181,7903,3638.90027212325
"Alabama","NON HISPANIC",70728,"10/13/20","eth","case","Count",4670690,70728,1514.29446184611
"Alabama","UNKNOWN",68452,"10/13/20","eth","case","Count",NA,68452,NA
"Alabama","",2665,"10/13/20","total","death","Count",4887871,2665,54.5227155135641
"Alabama","HISPANIC",69,"10/13/20","eth","death","Count",217181,69,31.7707350090478
"Alabama","NON HISPANIC",2128,"10/13/20","eth","death","Count",4670690,2128,45.5607201505559
"Alabama","UNKNOWN",312,"10/13/20","eth","death","Count",NA,312,NA
"Alabama","",18440,"10/13/20","total","hosp","Count",4887871,18440,377.260365504736
"Alaska","AI/AN",2294,"10/12/20","race","case","Count",113516,2294,2020.86049543677
