"state_name","category","count","last_update","strata_type","data_type","metric","pop_est","count2","normalized"
"Alabama","ASIAN",741,"11/24/20","race","case","Count",73167,741,1012.75165033417
"Alabama","BLACK",42941,"11/24/20","race","case","Count",1310802,42941,3275.93335988197
"Alabama","OTHER",24615,"11/24/20","race","case","Count",NA,24615,NA
"Alabama","UNKNOWN",58887,"11/24/20","race","case","Count",NA,58887,NA
"Alabama","WHITE",70664,"11/24/20","race","case","Count",3379955,70664,2090.67872205399
"Alabama","65+",33087,"11/24/20","age","case","Count",826894,33087,4001.35930361086
"Alabama","0-4",3849,"11/24/20","age","case","Count",293203,3849,1312.74236621044
"Alabama","18-24",27295,"11/24/20","age","case","Count",452658,27295,6029.93871753067
"Alabama","25-49",75041,"11/24/20","age","case","Count",1548808,75041,4845.08086218563
"Alabama","5-17",17468,"11/24/20","age","case","Count",796637,17468,2192.71763676555
"Alabama","50-64",41108,"11/24/20","age","case","Count",969671,41108,4239.37603578946
"Alabama","FEMALE",108055,"11/24/20","gender","case","Count",2523756,108055,4281.51532874018
"Alabama","MALE",87099,"11/24/20","gender","case","Count",2364115,87099,3684.2116394507
"Alabama","UNKNOWN",2694,"11/24/20","gender","case","Count",NA,2694,NA
"Alabama","ASIAN",12,"11/24/20","race","death","Count",73167,12,16.4008364426586
"Alabama","BLACK",1130,"11/24/20","race","death","Count",1310802,1130,86.206765018668
"Alabama","OTHER",92,"11/24/20","race","death","Count",NA,92,NA
"Alabama","UNKNOWN",131,"11/24/20","race","death","Count",NA,131,NA
"Alabama","WHITE",1800,"11/24/20","race","death","Count",3379955,1800,53.2551468880503
"Alabama","65+",2436,"11/24/20","age","death","Count",826894,2436,294.596405343369
"Alabama","0-4",4,"11/24/20","age","death","Count",293203,4,1.36424252139303
"Alabama","18-24",6,"11/24/20","age","death","Count",452658,6,1.32550402290471
"Alabama","25-49",155,"11/24/20","age","death","Count",1548808,155,10.0076962412384
"Alabama","50-64",564,"11/24/20","age","death","Count",969671,564,58.1640577061704
"Alabama","FEMALE",1493,"11/24/20","gender","death","Count",2523756,1493,59.1578583666567
"Alabama","MALE",1660,"11/24/20","gender","death","Count",2364115,1660,70.2165503793174
"Alabama","UNKNOWN",5,"11/24/20","gender","death","Count",NA,5,NA
"Alabama","",1544865,"11/24/20","total","test","Count",4887871,1544865,31606.0918956331
"Alabama","",236865,"11/24/20","total","case","Count",4887871,236865,4845.97486308456
"Alabama","HISPANIC",8977,"11/24/20","eth","case","Count",217181,8977,4133.4186692206
"Alabama","NON HISPANIC",90140,"11/24/20","eth","case","Count",4670690,90140,1929.90757254281
