"state_name","category","count","last_update","strata_type","data_type","metric","pop_est","count2","normalized"
"Alabama","ASIAN",107,"06/13/20","race","case","Count",73167,107,146.240791613706
"Alabama","BLACK",9897,"06/13/20","race","case","Count",1310802,9897,755.033941052882
"Alabama","OTHER",1203,"06/13/20","race","case","Count",NA,1203,NA
"Alabama","UNKNOWN",3639,"06/13/20","race","case","Count",NA,3639,NA
"Alabama","WHITE",8487,"06/13/20","race","case","Count",3379955,8487,251.098017577157
"Alabama","25-49",9546,"06/13/20","age","case","Count",1548808,9546,616.344956895884
"Alabama","0-4",325,"06/13/20","age","case","Count",293203,325,110.844704863184
"Alabama","5-24",3396,"06/13/20","age","case","Count",1249295,3396,271.83331398909
"Alabama","50-64",5229,"06/13/20","age","case","Count",969671,5229,539.255066924761
"Alabama","65+",4683,"06/13/20","age","case","Count",826894,4683,566.336193030788
"Alabama","UNKNOWN",154,"06/13/20","age","case","Count",NA,154,NA
"Alabama","FEMALE",13420,"06/13/20","gender","case","Count",2523756,13420,531.747126108863
"Alabama","MALE",9759,"06/13/20","gender","case","Count",2364115,9759,412.797177802264
"Alabama","UNKNOWN",154,"06/13/20","gender","case","Count",NA,154,NA
"Alabama","ASIAN",5,"06/13/20","race","death","Count",73167,5,6.83368185110774
"Alabama","BLACK",347,"06/13/20","race","death","Count",1310802,347,26.4723428862635
"Alabama","OTHER",12,"06/13/20","race","death","Count",NA,12,NA
"Alabama","UNKNOWN",27,"06/13/20","race","death","Count",NA,27,NA
"Alabama","WHITE",373,"06/13/20","race","death","Count",3379955,373,11.0356498829126
"Alabama","25-49",32,"06/13/20","age","death","Count",1548808,32,2.06610503044922
"Alabama","0-4",1,"06/13/20","age","death","Count",293203,1,0.341060630348257
"Alabama","5-24",2,"06/13/20","age","death","Count",1249295,2,0.160090290924081
"Alabama","50-64",127,"06/13/20","age","death","Count",969671,127,13.0972257600774
"Alabama","65+",602,"06/13/20","age","death","Count",826894,602,72.8025599411775
"Alabama","FEMALE",357,"06/13/20","gender","death","Count",2523756,357,14.1455830119869
"Alabama","MALE",404,"06/13/20","gender","death","Count",2364115,404,17.0888472007495
"Alabama","",23710,"06/13/20","total","case","Count",4887871,23710,485.078268227619
"Alabama","NON HISPANIC",15964,"06/13/20","eth","case","Count",4670690,15964,341.79104158058
"Alabama","UNKNOWN",5114,"06/13/20","eth","case","Count",NA,5114,NA
"Alabama","HISPANIC",2255,"06/13/20","eth","case","Count",217181,2255,1038.30445573047
"Alabama","",769,"06/13/20","total","death","Count",4887871,769,15.7328210994112
"Alabama","NON HISPANIC",664,"06/13/20","eth","death","Count",4670690,664,14.216314934196
"Alabama","UNKNOWN",82,"06/13/20","eth","death","Count",NA,82,NA
"Alabama","HISPANIC",18,"06/13/20","eth","death","Count",217181,18,8.28801782844724
"Alabama","",2202,"06/13/20","total","hosp","Count",4887871,2202,45.0502887658042
"Alaska","AI/AN",69,"06/11/20","race","case","Count",113516,69,60.7843828182811
"Alaska","ASIAN",58,"06/11/20","race","case","Count",49025,58,118.306986231515
"Alaska","BLACK",17,"06/11/20","race","case","Count",27942,17,60.8403120750125
"Alaska","HN/PI",17,"06/11/20","race","case","Count",10221,17,166.324234419333
"Alaska","MULTI",24,"06/11/20","race","case","Count",54855,24,43.7517090511348
"Alaska","OTHER",12,"06/11/20","race","case","Count",NA,12,NA
"Alaska","UNKNOWN",61,"06/11/20","race","case","Count",NA,61,NA
"Alaska","WHITE",367,"06/11/20","race","case","Count",481879,367,76.1601978920019
"Alaska","0-9",19,"06/11/20","age","case","Count",105171,19,18.065816622453
"Alaska","10-19",45,"06/11/20","age","case","Count",96022,45,46.8642602736873
"Alaska","20-29",115,"06/11/20","age","case","Count",114672,115,100.286033207758
"Alaska","30-39",123,"06/11/20","age","case","Count",108865,123,112.983970973224
"Alaska","40-49",89,"06/11/20","age","case","Count",86536,89,102.847369880743
"Alaska","50-59",109,"06/11/20","age","case","Count",93805,109,116.198496881829
"Alaska","60-69",71,"06/11/20","age","case","Count",80434,71,88.2711291244996
"Alaska","70-79",39,"06/11/20","age","case","Count",37370,39,104.361787530104
"Alaska","80+",15,"06/11/20","age","case","Count",14563,15,103.000755338872
"Alaska","UNKNOWN",0,"06/11/20","age","case",NA,NA,0,NA
"Alaska","FEMALE",314,"06/11/20","gender","case","Count",352865,314,88.9858727842093
"Alaska","MALE",311,"06/11/20","gender","case","Count",384573,311,80.8689117540753
"Alaska","UNKNOWN",0,"06/11/20","gender","case",NA,NA,0,NA
"Alaska","AI/AN",2,"06/11/20","race","death","Count",113516,2,1.76186616864583
"Alaska","ASIAN",2,"06/11/20","race","death","Count",49025,2,4.07955124936257
"Alaska","BLACK",0,"06/11/20","race","death",NA,27942,0,0
"Alaska","HN/PI",1,"06/11/20","race","death","Count",10221,1,9.78377849525487
"Alaska","MULTI",0,"06/11/20","race","death",NA,54855,0,0
"Alaska","OTHER",0,"06/11/20","race","death",NA,NA,0,NA
"Alaska","UNKNOWN",0,"06/11/20","race","death",NA,NA,0,NA
"Alaska","WHITE",7,"06/11/20","race","death","Count",481879,7,1.45264682627797
"Alaska","0-9",0,"06/11/20","age","death",NA,105171,0,0
"Alaska","10-19",0,"06/11/20","age","death",NA,96022,0,0
"Alaska","20-29",0,"06/11/20","age","death",NA,114672,0,0
"Alaska","30-39",2,"06/11/20","age","death","Count",108865,2,1.83713773940201
"Alaska","40-49",0,"06/11/20","age","death",NA,86536,0,0
"Alaska","50-59",1,"06/11/20","age","death","Count",93805,1,1.0660412557966
"Alaska","60-69",1,"06/11/20","age","death","Count",80434,1,1.24325533978168
"Alaska","70-79",6,"06/11/20","age","death","Count",37370,6,16.0556596200161
"Alaska","80+",2,"06/11/20","age","death","Count",14563,2,13.733434045183
"Alaska","UNKNOWN",0,"06/11/20","age","death",NA,NA,0,NA
"Alaska","FEMALE",6,"06/11/20","gender","death","Count",352865,6,1.70036699587661
"Alaska","MALE",6,"06/11/20","gender","death","Count",384573,6,1.56017193094679
"Alaska","UNKNOWN",0,"06/11/20","gender","death",NA,NA,0,NA
"Alaska","AI/AN",7,"06/11/20","race","hosp","Count",113516,7,6.1665315902604
"Alaska","ASIAN",7,"06/11/20","race","hosp","Count",49025,7,14.278429372769
"Alaska","BLACK",0,"06/11/20","race","hosp",NA,27942,0,0
"Alaska","HN/PI",4,"06/11/20","race","hosp","Count",10221,4,39.1351139810195
"Alaska","MULTI",0,"06/11/20","race","hosp",NA,54855,0,0
"Alaska","OTHER",4,"06/11/20","race","hosp","Count",NA,4,NA
"Alaska","UNKNOWN",0,"06/11/20","race","hosp",NA,NA,0,NA
"Alaska","WHITE",29,"06/11/20","race","hosp","Count",481879,29,6.01810828029443
"Alaska","0-9",0,"06/11/20","age","hosp",NA,105171,0,0
"Alaska","10-19",1,"06/11/20","age","hosp","Count",96022,1,1.04142800608194
"Alaska","20-29",3,"06/11/20","age","hosp","Count",114672,3,2.61615738802846
"Alaska","30-39",5,"06/11/20","age","hosp","Count",108865,5,4.59284434850503
"Alaska","40-49",2,"06/11/20","age","hosp","Count",86536,2,2.31117685125266
"Alaska","50-59",9,"06/11/20","age","hosp","Count",93805,9,9.59437130216939
"Alaska","60-69",9,"06/11/20","age","hosp","Count",80434,9,11.1892980580352
"Alaska","70-79",17,"06/11/20","age","hosp","Count",37370,17,45.4910355900455
"Alaska","80+",5,"06/11/20","age","hosp","Count",14563,5,34.3335851129575
"Alaska","UNKNOWN",0,"06/11/20","age","hosp",NA,NA,0,NA
"Alaska","FEMALE",21,"06/11/20","gender","hosp","Count",352865,21,5.95128448556814
"Alaska","MALE",30,"06/11/20","gender","hosp","Count",384573,30,7.80085965473395
"Alaska","UNKNOWN",0,"06/11/20","gender","hosp",NA,NA,0,NA
"Alaska","",625,"06/11/20","total","case","Count",737438,625,84.7528877003897
"Alaska","HISPANIC",45,"06/11/20","eth","case","Count",53288,45,84.4467797627984
"Alaska","NON HISPANIC",502,"06/11/20","eth","case","Count",684150,502,73.3757216984579
"Alaska","UNKNOWN",78,"06/11/20","eth","case","Count",NA,78,NA
"Alaska","",12,"06/11/20","total","death","Count",737438,12,1.62725544384748
"Alaska","HISPANIC",0,"06/11/20","eth","death",NA,53288,0,0
"Alaska","NON HISPANIC",12,"06/11/20","eth","death","Count",684150,12,1.75400131550099
"Alaska","UNKNOWN",0,"06/11/20","eth","death",NA,NA,0,NA
"Alaska","",51,"06/11/20","total","hosp","Count",737438,51,6.9158356363518
"Alaska","HISPANIC",4,"06/11/20","eth","hosp","Count",53288,4,7.50638042335986
"Alaska","NON HISPANIC",45,"06/11/20","eth","hosp","Count",684150,45,6.5775049331287
"Alaska","UNKNOWN",2,"06/11/20","eth","hosp","Count",NA,2,NA
"Arizona","NH AI/AN",3819,"06/12/20","race","case","Count",283832,3819,1345.51424786493
"Arizona","NH ASIAN",297,"06/12/20","race","case","Count",244348,297,121.547956193625
"Arizona","NH BLACK",936,"06/12/20","race","case","Count",313875,936,298.207885304659
"Arizona","HISPANIC",7911,"06/12/20","race","case","Count",2266343,7911,349.064550246807
"Arizona","NH MULTI",0,"06/12/20","race","case",NA,146845,0,0
"Arizona","OTHER",893,"06/12/20","race","case","Count",NA,893,NA
"Arizona","UNKNOWN",11317,"06/12/20","race","case","Count",NA,11317,NA
"Arizona","NH WHITE",6091,"06/12/20","race","case","Count",3902867,6091,156.064759572899
"Arizona","0-19",3194,"06/12/20","age","case","Count",1837877,3194,173.787473263989
"Arizona","20-44",13783,"06/12/20","age","case","Count",2358452,13783,584.408756251982
"Arizona","45-54",4977,"06/12/20","age","case","Count",850790,4977,584.985719155138
"Arizona","55-64",4257,"06/12/20","age","case","Count",866277,4257,491.413254651803
"Arizona","65+",5031,"06/12/20","age","case","Count",1258250,5031,399.841049076098
"Arizona","UNKNOWN",22,"06/12/20","age","case","Count",NA,22,NA
"Arizona","FEMALE",16497,"06/12/20","gender","case","Count",3606307,16497,457.448575509517
"Arizona","MALE",14691,"06/12/20","gender","case","Count",3565339,14691,412.050579201585
"Arizona","NH AI/AN",200,"06/12/20","race","death","Count",283832,200,70.4642182699625
"Arizona","NH ASIAN",15,"06/12/20","race","death","Count",244348,15,6.13878566634472
"Arizona","NH BLACK",35,"06/12/20","race","death","Count",313875,35,11.1509358821187
"Arizona","HISPANIC",205,"06/12/20","race","death","Count",2266343,205,9.04540927829547
"Arizona","NH MULTI",0,"06/12/20","race","death",NA,146845,0,0
"Arizona","OTHER",20,"06/12/20","race","death","Count",NA,20,NA
"Arizona","UNKNOWN",133,"06/12/20","race","death","Count",NA,133,NA
"Arizona","NH WHITE",519,"06/12/20","race","death","Count",3902867,519,13.2979166341051
"Arizona","0-19",3,"06/12/20","age","death","Count",1837877,3,0.163231815839689
"Arizona","20-44",53,"06/12/20","age","death","Count",2358452,53,2.24723674681528
"Arizona","45-54",69,"06/12/20","age","death","Count",850790,69,8.11010942770837
"Arizona","55-64",142,"06/12/20","age","death","Count",866277,142,16.3919854734686
"Arizona","65+",860,"06/12/20","age","death","Count",1258250,860,68.3488972779654
"Arizona","FEMALE",514,"06/12/20","gender","death","Count",3606307,514,14.2528076505966
"Arizona","MALE",612,"06/12/20","gender","death","Count",3565339,612,17.1652681554265
"Arizona","NH AI/AN",636,"06/12/20","race","hosp","Count",283832,636,224.076214098481
"Arizona","NH ASIAN",61,"06/12/20","race","hosp","Count",244348,61,24.9643950431352
"Arizona","NH BLACK",181,"06/12/20","race","hosp","Count",313875,181,57.6662684189566
"Arizona","HISPANIC",1060,"06/12/20","race","hosp","Count",2266343,1060,46.7713845609425
"Arizona","NH MULTI",0,"06/12/20","race","hosp",NA,146845,0,0
"Arizona","OTHER",73,"06/12/20","race","hosp","Count",NA,73,NA
"Arizona","UNKNOWN",248,"06/12/20","race","hosp","Count",NA,248,NA
"Arizona","NH WHITE",1272,"06/12/20","race","hosp","Count",3902867,1272,32.5914257390785
"Arizona","0-19",38,"06/12/20","age","hosp","Count",1837877,38,2.06760300063606
"Arizona","20-44",746,"06/12/20","age","hosp","Count",2358452,746,31.6309172287585
"Arizona","45-54",568,"06/12/20","age","hosp","Count",850790,568,66.7614805063529
"Arizona","55-64",689,"06/12/20","age","hosp","Count",866277,689,79.5357605015486
