"state_name","category","count","last_update","strata_type","data_type","metric","pop_est","count2","normalized"
"Alabama","ASIAN",98,"06/10/20","race","case","Count",73167,98,133.940164281712
"Alabama","BLACK",8950,"06/10/20","race","case","Count",1310802,8950,682.788094616883
"Alabama","OTHER",1040,"06/10/20","race","case","Count",NA,1040,NA
"Alabama","UNKNOWN",3176,"06/10/20","race","case","Count",NA,3176,NA
"Alabama","WHITE",7807,"06/10/20","race","case","Count",3379955,7807,230.97940653056
"Alabama","25-49",8652,"06/10/20","age","case","Count",1548808,8652,558.623147607709
"Alabama","0-4",290,"06/10/20","age","case","Count",293203,290,98.9075828009945
"Alabama","5-24",2893,"06/10/20","age","case","Count",1249295,2893,231.570605821683
"Alabama","50-64",4842,"06/10/20","age","case","Count",969671,4842,499.344623073187
"Alabama","65+",4389,"06/10/20","age","case","Count",826894,4389,530.781454454864
"Alabama","UNKNOWN",5,"06/10/20","age","case","Count",NA,5,NA
"Alabama","FEMALE",12135,"06/10/20","gender","case","Count",2523756,12135,480.830951962076
"Alabama","MALE",8800,"06/10/20","gender","case","Count",2364115,8800,372.232315263851
"Alabama","UNKNOWN/OTHER",136,"06/10/20","gender","case","Count",NA,136,NA
"Alabama","ASIAN",5,"06/10/20","race","death","Count",73167,5,6.83368185110774
"Alabama","BLACK",322,"06/10/20","race","death","Count",1310802,322,24.5651135716912
"Alabama","OTHER",10,"06/10/20","race","death","Count",NA,10,NA
"Alabama","UNKNOWN",29,"06/10/20","race","death","Count",NA,29,NA
"Alabama","WHITE",359,"06/10/20","race","death","Count",3379955,359,10.6214431848945
"Alabama","25-49",26,"06/10/20","age","death","Count",1548808,26,1.67871033723999
"Alabama","0-4",1,"06/10/20","age","death","Count",293203,1,0.341060630348257
"Alabama","5-24",1,"06/10/20","age","death","Count",1249295,1,0.0800451454620406
"Alabama","50-64",119,"06/10/20","age","death","Count",969671,119,12.2722036649544
"Alabama","65+",578,"06/10/20","age","death","Count",826894,578,69.9001323023265
"Alabama","FEMALE",333,"06/10/20","gender","death","Count",2523756,333,13.1946194481558
"Alabama","MALE",390,"06/10/20","gender","death","Count",2364115,390,16.4966594264661
"Alabama","",267388,"06/10/20","total","test","Count",4887871,267388,5470.43897025924
"Alabama","",21071,"06/10/20","total","case","Count",4887871,21071,431.087481645895
"Alabama","NON HISPANIC",14627,"06/10/20","eth","case","Count",4670690,14627,313.165720696514
"Alabama","UNKNOWN",4428,"06/10/20","eth","case","Count",NA,4428,NA
"Alabama","HISPANIC",2016,"06/10/20","eth","case","Count",217181,2016,928.257996786091
"Alabama","",725,"06/10/20","total","death","Count",4887871,725,14.8326336762979
"Alabama","NON HISPANIC",627,"06/10/20","eth","death","Count",4670690,627,13.4241407586459
"Alabama","UNKNOWN",81,"06/10/20","eth","death","Count",NA,81,NA
"Alabama","HISPANIC",17,"06/10/20","eth","death","Count",217181,17,7.8275723935335
"Alabama","",7469,"06/10/20","total","hosp","Count",4887871,7469,152.806815073475
"Alaska","AI/AN",65,"06/08/20","race","case","Count",113516,65,57.2606504809895
"Alaska","ASIAN",55,"06/08/20","race","case","Count",49025,55,112.187659357471
"Alaska","BLACK",16,"06/08/20","race","case","Count",27942,16,57.2614701882471
"Alaska","HN/PI",16,"06/08/20","race","case","Count",10221,16,156.540455924078
"Alaska","MULTI",20,"06/08/20","race","case","Count",54855,20,36.4597575426123
"Alaska","OTHER",12,"06/08/20","race","case","Count",NA,12,NA
"Alaska","UNKNOWN",46,"06/08/20","race","case","Count",NA,46,NA
"Alaska","WHITE",343,"06/08/20","race","case","Count",481879,343,71.1796944876203
"Alaska","0-9",18,"06/08/20","age","case","Count",105171,18,17.1149841686396
"Alaska","10-19",44,"06/08/20","age","case","Count",96022,44,45.8228322676053
"Alaska","20-29",101,"06/08/20","age","case","Count",114672,101,88.0772987302916
"Alaska","30-39",113,"06/08/20","age","case","Count",108865,113,103.798282276214
"Alaska","40-49",77,"06/08/20","age","case","Count",86536,77,88.9803087732273
"Alaska","50-59",100,"06/08/20","age","case","Count",93805,100,106.60412557966
"Alaska","60-69",67,"06/08/20","age","case","Count",80434,67,83.2981077653728
"Alaska","70-79",38,"06/08/20","age","case","Count",37370,38,101.685844260102
