"state_name","category","count","last_update","strata_type","data_type","metric","pop_est","count2","normalized"
"Alabama","ASIAN",495,"09/15/20","race","case","Count",73167,495,676.534503259666
"Alabama","BLACK",32130,"09/15/20","race","case","Count",1310802,32130,2451.17111508832
"Alabama","OTHER",8927,"09/15/20","race","case","Count",NA,8927,NA
"Alabama","UNKNOWN",43312,"09/15/20","race","case","Count",NA,43312,NA
"Alabama","WHITE",41949,"09/15/20","race","case","Count",3379955,41949,1241.11119822601
"Alabama","65+",21791,"09/15/20","age","case","Count",826894,21791,2635.28336159169
"Alabama","0-4",2528,"09/15/20","age","case","Count",293203,2528,862.201273520394
"Alabama","18-24",18923,"09/15/20","age","case","Count",452658,18923,4180.4187709043
"Alabama","25-49",48829,"09/15/20","age","case","Count",1548808,48829,3152.68257911891
"Alabama","5-17",9281,"09/15/20","age","case","Count",796637,9281,1165.02246317959
"Alabama","50-64",25461,"09/15/20","age","case","Count",969671,25461,2625.73594549079
"Alabama","FEMALE",70246,"09/15/20","gender","case","Count",2523756,70246,2783.39110436984
"Alabama","MALE",55088,"09/15/20","gender","case","Count",2364115,55088,2330.17429355171
"Alabama","UNKNOWN",1479,"09/15/20","gender","case","Count",NA,1479,NA
"Alabama","ASIAN",8,"09/15/20","race","death","Count",73167,8,10.9338909617724
"Alabama","BLACK",889,"09/15/20","race","death","Count",1310802,889,67.821074426191
"Alabama","OTHER",51,"09/15/20","race","death","Count",NA,51,NA
"Alabama","UNKNOWN",78,"09/15/20","race","death","Count",NA,78,NA
"Alabama","WHITE",1227,"09/15/20","race","death","Count",3379955,1227,36.3022584620209
"Alabama","65+",1738,"09/15/20","age","death","Count",826894,1738,210.184134846788
"Alabama","0-4",4,"09/15/20","age","death","Count",293203,4,1.36424252139303
"Alabama","18-24",4,"09/15/20","age","death","Count",452658,4,0.88366934860314
"Alabama","25-49",107,"09/15/20","age","death","Count",1548808,107,6.90853869556459
"Alabama","50-64",400,"09/15/20","age","death","Count",969671,400,41.2511047561493
"Alabama","FEMALE",1083,"09/15/20","gender","death","Count",2523756,1083,42.9122308178762
"Alabama","MALE",1163,"09/15/20","gender","death","Count",2364115,1163,49.1938843922567
"Alabama","UNKNOWN",1,"09/15/20","gender","death","Count",NA,1,NA
"Alabama","",14538,"09/15/20","total","test","Count",4887871,14538,297.430108118647
"Alabama","",140160,"09/15/20","total","case","Count",4887871,140160,2867.50611871713
"Alabama","HISPANIC",7336,"09/15/20","eth","case","Count",217181,7336,3377.82771052716
"Alabama","NON HISPANIC",60484,"09/15/20","eth","case","Count",4670690,60484,1294.969265783
"Alabama","UNKNOWN",58993,"09/15/20","eth","case","Count",NA,58993,NA
"Alabama","",2387,"09/15/20","total","death","Count",4887871,2387,48.835167703894
"Alabama","HISPANIC",64,"09/15/20","eth","death","Count",217181,64,29.4685078344791
"Alabama","NON HISPANIC",1913,"09/15/20","eth","death","Count",4670690,1913,40.9575458872244
"Alabama","UNKNOWN",276,"09/15/20","eth","death","Count",NA,276,NA
"Alabama","",15756,"09/15/20","total","hosp","Count",4887871,15756,322.348932694828
